"GeneSymbol","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"D630045J12Rik",-0.252585999999999,7.931377,-2.92327387942316,0.0111267149733069,0.047524491767119,-3.74386275193956
"Slc19a2",0.305736000000001,8.656138,2.92285344660086,0.0111359672423526,0.0475548631891694,-3.74467430992197
"Tnnt3",-0.538852,5.340818,-2.92275080125592,0.0111382272595061,0.0475553690683702,-3.74487244119169
"Dyrk3",-0.261996,6.358468,-2.92227714712571,0.011148661891389,0.0475907700807734,-3.74578669120849
"Cst8",-0.208718,5.057257,-2.92140971788446,0.0111677963455428,0.0476632876511865,-3.7474609174582
"Mrps17",0.308202,10.035139,2.92075081338599,0.0111823525726658,0.0477129774672811,-3.74873259123601
"Hdhd1a",-0.259186,6.020473,-2.92068822241285,0.0111837362747545,0.0477129774672811,-3.74885338715057
"Smtn",-0.218164,8.431298,-2.91933262970169,0.0112137457830147,0.0478318169146417,-3.75146942951247
"Cd209b",-0.307464,5.855662,-2.91848949258606,0.0112324507024763,0.0478936952240728,-3.75309638230742
"Efhc1",0.24031,8.179941,2.91834347448101,0.011235693215875,0.0478936952240728,-3.75337813363614
"Agpat3",0.229430000000001,8.795593,2.91830514987147,0.0112365444139062,0.0478936952240728,-3.75345208288111
"Rhot1",0.3976,9.242814,2.91828386385743,0.011237017208361,0.0478936952240728,-3.75349315520682
"Gsdma",-0.269652,6.774614,-2.91819295918705,0.0112390365582565,0.0478936952240728,-3.75366855907368
"Eefsec",0.281554,8.732741,2.91772960762606,0.0112493349626498,0.0479283829970456,-3.75456259257285
"Mcoln2",0.269906000000001,7.930619,2.91756531403465,0.0112529887629418,0.0479334402964494,-3.75487958776578
"Ano4",-0.234692,8.167534,-2.91748213208271,0.0112548391293203,0.0479334402964494,-3.75504008101837
"Kat8",-0.34756,8.17246,-2.91688087940984,0.0112682227772837,0.0479809529794839,-3.75620011995697
"Kifc2",-0.281349999999999,7.146615,-2.91678687850148,0.011270316614473,0.0479809529794839,-3.75638147735497
"Tet1",0.338422,6.539011,2.91633332063186,0.0112804248334706,0.0480055795040337,-3.75725651396251
"Oit1",0.279508,6.937562,2.91605377095849,0.0112866594575411,0.0480229085867326,-3.75779582523497
"Mtcp1",-0.283832000000001,8.478814,-2.9155907559756,0.0112969932485202,0.0480493559052496,-3.75868905332002
"Sgms1",0.39777,9.793551,2.91558136749814,0.0112972028812622,0.0480493559052496,-3.75870716480676
"Lamp3",0.262978,6.675157,2.91491106491905,0.0113121797718925,0.0481038422088559,-3.7600002220288
"Ube2e3",-0.359113999999999,10.309623,-2.91396276231507,0.0113334014962221,0.0481848580557357,-3.76182943807378
"BC002062 // GenBank // Mus musculus ribosomal protein L29, mRNA (cDNA clone MGC:6127 IMAGE:3590425), complete cds. // chr1 // 100 // 100 // 0 // --- // 0",0.254920000000001,11.53916,2.9137207792055,0.0113388230142276,0.0481894552830503,-3.76229618548157
"Banf1",0.22712,11.44298,2.91332251970375,0.011347751382823,0.0482089472368411,-3.76306434531633
"Ifit2",0.348026,5.389215,2.91316392179084,0.0113513088290731,0.0482148362391732,-3.76337024074472
"Manba",-0.361022,8.166019,-2.9122396869382,0.0113720617903801,0.0482845132155222,-3.76515277766539
"Spata17",-0.318006,5.854425,-2.91167174117923,0.0113848330582714,0.0483294977809165,-3.76624808600799
"Slc35a5",-0.328092,9.771794,-2.91106755223797,0.0113984347944907,0.0483779898789107,-3.76741323467232
"Phospho1",-0.249671999999999,9.416956,-2.91028317068338,0.0114161169272951,0.0484437784229917,-3.76892578933359
"Snupn",0.343218,7.460529,2.90960713776227,0.0114313782107927,0.0484992710257667,-3.77022933235994
"Obox6",-0.26549,4.895523,-2.90911773102063,0.0114424389629261,0.0485188371206649,-3.77117297282635
"Psmc3",0.20634,10.96373,2.90911342437082,0.0114425363412884,0.0485188371206649,-3.77118127644319
"Btk",-0.326342,10.315569,-2.9091000361523,0.0114428390696865,0.0485188371206649,-3.77120709014072
"Gpbp1l1",-0.223179999999999,10.53857,-2.90901642832747,0.0114447297504297,0.0485188371206649,-3.77136829295037
"Man2b2",-0.246846,10.182577,-2.90865602321596,0.0114528833517563,0.0485441358482727,-3.77206317108349
"Gm3376",-0.386638,5.253213,-2.90738210456684,0.0114817495447891,0.0486572004564097,-3.77451918035618
"Upk3a",-0.255722,5.358497,-2.90708365297028,0.0114885226003738,0.0486766137881893,-3.77509453271723
"Rpl10l",-0.234128,8.873412,-2.90692479642512,0.0114921292891301,0.0486821353753392,-3.77540076915452
"Scrib",-0.223886,9.387965,-2.90683315695409,0.0114942103833605,0.0486821353753392,-3.77557742573012
"Ascc2",-0.219779999999999,10.38843,-2.90663293726838,0.011498758577642,0.0486921115513195,-3.77596339146045
"T2",-0.269062,5.197327,-2.90538284408259,0.0115271957365057,0.0488032237416291,-3.77837306483836
"Rpl15",0.23288,12.6248,2.90522121451374,0.0115308775323934,0.0488050768218855,-3.77868460289072
"D630003M21Rik",0.25371,6.736661,2.9051706717218,0.0115320290950389,0.0488050768218855,-3.77878202234175
"Mmachc",0.584564,8.72992,2.90460343450737,0.0115449607324023,0.0488504950502526,-3.77987532395705
"Tnpo2",0.294896,9.508162,2.90449431508487,0.0115474500251134,0.0488517194242082,-3.78008563646038
"Lzts1",-0.271671999999999,7.469594,-2.90436013393942,0.0115505117627192,0.0488553646100845,-3.78034424932429
"Epm2a",-0.25066,8.048126,-2.9038689004704,0.011561727506477,0.0488875422220781,-3.78129099918399
"Scrn2",-0.225392,8.181972,-2.90377718035545,0.0115638228268759,0.0488875422220781,-3.78146776623948
"Calm1",0.20846,12.28149,2.90373774126311,0.0115647239166251,0.0488875422220781,-3.78154377458358
"Zfp638",-0.370115999999999,10.365662,-2.90331023020422,0.0115744959588307,0.0489195388773878,-3.78236767220007
"Ermap",-0.291332,7.081146,-2.9028607530686,0.0115847788501953,0.0489505482781139,-3.78323387101912
"Slc16a9",0.34667,7.440427,2.90279684488741,0.0115862416351331,0.0489505482781139,-3.78335702745777
"Gm5737",-0.280418,7.018325,-2.90266445201336,0.0115892725334926,0.0489540395432256,-3.78361215756391
"Inpp5d",-0.245859999999999,11.26717,-2.90233928613613,0.0115967199319105,0.0489761815914804,-3.78423876241579
"Mdfic",0.268608000000001,9.73311,2.90152097764835,0.01161548277557,0.0490460944123041,-3.78581559309214
"Arhgap35",0.493882,8.325015,2.90081729948582,0.0116316411291094,0.0491049853446774,-3.7871714516446
"Zmat3",-0.314352,6.430448,-2.90049152171629,0.0116391293438838,0.04912725835588,-3.78779913845927
"Zfp382",0.258534,6.093285,2.89942779452622,0.0116636127996453,0.0492212439811712,-3.78984853728075
"Zfp14",-0.282302000000001,6.785123,-2.89931195690539,0.0116662820484627,0.0492231539365689,-3.79007170137577
"Pdgfrb",0.283552,7.072946,2.8986844491852,0.0116807521555973,0.049274844674619,-3.79128057300552
"Gpsm1",-0.249499999999999,8.29222,-2.89755566777065,0.0117068258503632,0.0493754558087683,-3.7934549700125
"Aph1a",0.278935999999999,10.291952,2.89720911599276,0.0117148423053441,0.0493998838269031,-3.79412249896692
"Olfr303",-0.272812,6.456502,-2.89537565661504,0.0117573437919819,0.0495625841719122,-3.79765378809915
"Ccdc132",0.49319,6.977441,2.8953521594141,0.0117578894631016,0.0495625841719122,-3.79769904074834
"Pkd2l1",0.24176,5.423314,2.89512467611482,0.0117631735515453,0.0495692729017141,-3.79813714027198
"4933428G20Rik",-0.235694,7.494545,-2.89509165628563,0.0117639407453856,0.0495692729017141,-3.79820073092632
"2010111I01Rik",-0.396766,8.634385,-2.89473616480974,0.0117722034671779,0.0495946784655954,-3.79888533663324
"Ndufa9",0.467513999999999,10.500023,2.89449885241425,0.0117777225136129,0.0496000157704094,-3.7993423415121
"Dnase1l3",0.34763,4.548009,2.89448960459655,0.0117779376365563,0.0496000157704094,-3.79936015033169
"Zfp960",-0.300409999999999,8.789245,-2.89438957211964,0.0117802648409184,0.0496004097568136,-3.79955278519278
"Fam53a",-0.28361,8.148557,-2.89411997069364,0.0117865392289569,0.0496174199276241,-3.80007195477386
"Neurl3",-0.229668,7.49751,-2.89385283282435,0.011792759520067,0.049634195963345,-3.80058636858714
"Avil",-0.272050000000001,7.630445,-2.89367682876704,0.0117968595267778,0.0496389151211991,-3.80092528427775
"Il1f6",1.035138,5.878929,2.8935334477956,0.0118002006148137,0.0496389151211991,-3.80120137678824
"Zfp735",-0.23874,3.936638,-2.89351687271693,0.0118005869100608,0.0496389151211991,-3.80123329332467
"Ankrd2",-0.242204,6.706748,-2.89321761123248,0.0118075635709515,0.0496588554273766,-3.80180953565391
"Pdlim2",-0.246696000000001,9.640402,-2.89300212695268,0.0118125896482285,0.0496705862012049,-3.80222445188654
"Doxl2",-0.242649999999999,6.884393,-2.8926997124598,0.0118196468783497,0.0496815064398637,-3.80280673993083
"Gprc5d",0.440424,5.612262,2.89269909523908,0.0118196612862199,0.0496815064398637,-3.80280792835145
"Phkb",-0.63657,7.087267,-2.89227239027576,0.0118296260486751,0.0497132490739481,-3.80362950763064
"Ccnb2",-0.227313999999999,10.032903,-2.89218402766971,0.0118316905951462,0.0497132490739481,-3.8037996375833
"Rps13",0.23952,10.83156,2.89175805849014,0.0118416481090991,0.0497456749736386,-3.80461976425053
"Avpr2",-0.353035999999999,6.12329,-2.8912011214794,0.0118546795586681,0.0497909994854897,-3.80569200091254
"Cnn3",0.255138,5.232317,2.89092394400892,0.0118611703221619,0.0498088404262342,-3.80622561472013
"Cryz",-0.35612,7.003092,-2.8902164395803,0.0118777540307071,0.0498690501051014,-3.80758762394747
"Txlng",-0.27328,9.390278,-2.88987195813107,0.0118858368196069,0.0498935524416238,-3.8082507517256
"Atp6v0a2",0.21439,8.920999,2.88949091573155,0.0118947837521799,0.0499216722738435,-3.80898423669899
"Papss1",0.319887999999999,8.919248,2.8882275344309,0.011924495466094,0.0500322971737345,-3.81141600287368
"Prelp",-0.250816,6.591396,-2.88817857138085,0.0119256484256767,0.0500322971737345,-3.81151024203853
